0,143,0.247650185,0.695890096,0.036882124
4096,5908,0.005196636,0.005014132,4.21791E-05
8192,9834,0.000191028,0.002063951,5.77575E-05
12288,13959,0.000205533,0.001235834,4.49899E-05
16384,18348,9.26081E-06,0.000333908,1.1278E-06
20480,22415,1.52308E-05,7.48513E-05,4.74734E-11
24576,26026,1.22288E-05,0.000139034,2.96709E-11
28672,31860,1.89194E-05,0.001718468,0
32768,35053,2.2106E-05,0.000241391,0
36864,39047,2.24368E-07,0.00260398,0
40960,43422,7.2339E-06,8.68807E-06,0
45056,47199,2.62914E-08,8.71327E-06,4.15393E-11
49152,51123,2.06692E-05,2.88545E-06,0
53248,55897,2.40942E-06,9.48145E-06,0
57344,59884,2.91962E-09,5.83525E-05,0
61440,65469,1.33472E-07,4.61523E-06,0
65536,67977,1.43521E-06,0.000128965,0
69632,71981,1.26991E-09,2.01331E-05,0
73728,74632,1.22541E-09,1.66198E-05,0
77824,79447,2.37916E-07,9.85672E-06,0
81920,84460,2.23422E-09,1.19633E-07,0
86016,87827,1.00288E-09,2.22116E-08,0
90112,90137,1.48354E-10,2.42936E-06,0
94208,94850,1.21651E-10,4.41355E-08,0
102400,102618,1.54092E-05,1.70322E-06,0
110592,112652,1.09189E-09,2.23392E-08,0
114688,115431,1.47761E-08,2.13126E-08,0
118784,119459,2.25842E-06,2.15144E-08,0
122880,123546,4.15393E-11,2.15114E-08,0
139264,141938,8.06752E-09,3.78897E-08,0
143360,144345,5.93418E-12,4.42553E-06,0
147456,150460,1.23391E-06,1.15717E-09,0
155648,159067,7.41772E-11,2.14105E-08,0
204800,207646,4.15393E-11,2.18081E-08,0
217088,218543,1.18684E-11,2.1725E-08,0
278528,281138,1.18684E-11,2.11999E-08,0
544768,274224,3.36112E-08,5.93418E-12,0
634880,636875,0,2.2604E-06,0
2093056,3892553,1.9256E-06,2.26034E-06,0
